ArtistKey,TotalSongs,NumTrendingSongs,NumFloppingSongs,TrendingPercentage,TrendingFactor,Role,Name_Out
8885e3ce-c2f1-4215-a033-f80728e6b4b6,118,3,0,2.5423728813559324E-2,1,main,cor veleno
1d1a2a30-d33c-4ca1-8687-0338932550f8,180,27,0,0.14999999999999999,1,main,caparezza
593d35d2-7873-41be-b8de-0ae247544f75,55,7,0,0.12727272727272726,1,main,madame
a1c2114e-29e3-44e9-ba60-e15d9beb0444,179,17,0,9.4972067039106142E-2,1,main,fedez
608f44e2-2a6f-4693-9863-402da660e825,275,21,0,0.07636363636363637,1,main,fabri fibra
c0a1d20e-9dae-4f65-967f-ff6858098d24,149,10,0,6.7114093959731544E-2,1,main,j-ax
12cec980-aebf-44f9-9304-4bf017de271d,73,1,0,1.3698630136986301E-2,1,main,frankie hi-nrg mc
6a5d1391-5829-4524-accc-373011bf5837,114,9,0,7.8947368421052627E-2,1,main,jack the smoker
b33cc208-b288-4970-aa6c-2a17e83c6820,68,4,0,5.8823529411764705E-2,1,main,mr. rain
53f55f51-7b39-4b1e-8ab3-d2b05807d997,159,5,0,3.1446540880503145E-2,1,main,articolo 31
b5ffe68d-6aeb-4208-9780-7c2dbbc2ee40,151,12,0,7.9470198675496692E-2,1,main,clementino
cdac2940-a431-4ec9-8285-d88d2381ad26,136,12,0,8.8235294117647065E-2,1,main,sfera ebbasta
9e810e86-a3b7-437b-8885-692aacb3b313,148,12,0,8.1081081081081086E-2,1,main,neffa
7ef6e621-0460-4967-9191-f352581fc467,135,13,0,9.6296296296296297E-2,1,main,tedua
87684473-407b-46b2-8af9-8f0e77ae10c3,237,28,0,0.11814345991561181,1,main,emis killa
8638bdfc-9bf8-4c16-8f6d-8c225b62e35a,98,2,0,2.0408163265306121E-2,1,main,piotta
d2375228-33c6-47a9-b1ee-6ab10c937bb7,113,15,0,0.13274336283185842,1,main,willie peyote
f506d640-0efa-4088-8254-ef63d13b76c0,185,6,0,3.2432432432432434E-2,1,main,dargen d_amico
1f819835-52ea-4f5f-b0bc-58b93a010a10,43,1,0,2.3255813953488372E-2,1,main,brusco
fd60771d-a3fe-41de-8868-9f491df03e3a,55,9,0,0.16363636363636364,1,main,beba
260b9247-96a3-4fca-83bd-4268726d0e75,274,8,0,2.9197080291970802E-2,1,main,vacca
62307e31-7556-481b-a2dd-d79c03c61ac8,3,1,0,0.33333333333333331,1,main,joey funboy
