SymphonyKey,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
5abac464be734b5cb9b8f0414f1c2116,143.22,1889.6929,1.2403,0.0828,0.8789,14.8602,1846.6317,6.5042
167824e0e50240a58de296b50b1ba269,125.23,2134.3043,1.4518,0.1995,0.8396,29.5775,1953.8753,20.1093
24683dc232584bc5990a5b0b54a7cdff,153.12,2192.6911,1.318,0.3458,0.7937,44.0823,2195.0064,41.5359
5604fa11e56649eeb087393f6de01765,124.14,2456.785,1.2137,0.2573,0.8385,40.9769,1861.3738,28.079
ec2468e18b24404cb15f97b5ee8f68eb,150.14,2262.4085,1.3894,0.1408,0.7248,21.8987,2214.3585,13.3467
69945aa45f97445bb3b5e461684cdaeb,117.96,2737.5537,1.2408,0.2555,0.8177,37.2049,2055.0147,28.8071
cb18e3f0fa5942dd83761b6ef26a565e,139.94,1522.8315,1.3143,0.2197,0.8651,24.6477,2420.2639,23.573
93dd063ab7864c19a28f346096c642b1,85.06,1092.7777,1.3235,0.2705,0.825,10.5199,2939.125,32.8546
fd138126b01945eeb718618c0377ad49,106.04,1332.6988,1.2176,0.2347,0.9268,29.9018,2054.9772,25.1617
715d1b3df3024e279d30311c06ee8f06,156.21,2456.1091,1.4629,0.2267,0.8007,26.7128,2297.436,24.3122
feddd82fecdf41fb8e78086a98e613c1,143.63,1040.4305,1.2131,0.121,0.8746,10.8673,2388.6211,11.1571
798785b046bf44d8bd53611bef57269d,140.03,2224.2162,1.3682,0.2745,0.8779,36.2247,2424.7026,30.6017
53ab62172bd24a7384691df306bf827e,144.97,1487.3485,1.3704,0.2961,0.8663,27.5103,2346.0466,34.5267
07504b83be2549918a85754ecad304c5,83.94,1529.6286,1.2399,0.2144,0.9036,25.775,2028.1672,22.4647
32da8adf2b4e4fe0a233abed2a2c7f54,123.0,1579.1351,1.2364,0.211,0.865,29.8709,1283.8739,21.7752
b66523d440b54cf7bfa59df61ff9dbd6,97.01,1939.5743,1.4915,0.2105,0.7907,21.3518,2604.6006,22.7132
ca32ad2979de41ae9a3613b67024d7ef,99.89,2099.2929,1.4495,0.2238,0.8232,25.5901,2579.558,24.5903
54c2968b186544b4bc8173fc5b2a55c5,134.68,1794.3173,1.4321,0.2058,0.782,19.8245,2124.0039,21.4578
6d2796c79db44ba49e643275110d5620,89.97,1478.2368,1.2651,0.1844,0.8848,20.6097,1883.8233,18.5447
5d46267e133e483ab7c4986313ea4b77,129.65,1707.2895,1.3321,0.3148,0.8244,32.8896,2128.5949,37.1335
5b21cf96520d42fcbb9536c25f2012ed,99.84,1328.5572,1.2336,0.1966,0.9242,25.0413,1907.9789,19.5017
277e1b9b1203453983f351e9cc136769,100.06,1934.3353,1.3653,0.1347,0.8586,16.6464,1807.5108,11.8235
0130bcf9179c4168803b278cda802d48,86.97,1080.1571,1.2219,0.2597,0.9475,30.8597,2585.5437,28.6058
cc953567804a4b0bbb7a2c407b8541d1,93.94,1604.182,1.2001,0.2518,0.8883,38.1817,2056.8468,27.5268
6eff0cd8ebbe452498c56cbd5d28249d,100.92,1673.2887,1.2423,0.2166,0.9004,29.8881,2192.9297,23.3016
11f7b6b17f5843a1b061c78b8aa7b5d7,150.16,1155.511,1.4218,0.3036,0.8564,25.3508,2684.7493,35.9182
8b4b276f0ac546c79fd007af4a456689,97.05,1626.5428,1.2289,0.2657,0.8694,33.005,1860.3851,29.4205
c0f11be8c6fc483296d8104e7ec177c3,102.0,1832.725,1.3466,0.2321,0.7801,32.3706,2063.7877,25.4385
726016f293c747d9a92ae88dc22aea7e,107.89,2478.1341,1.4221,0.2422,0.7778,26.7647,2318.728,26.8665
