SymphonyKey,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
SYN_6267f2a0-96f6-4f36-b924-948eedbd98fb,81.92,1118.5471,1.3251,0.1214,0.876,14.0956,2319.0912,10.4646
SYN_ebb8a3b0-a297-43d9-8ff3-13f06004de7e,143.22,1889.6929,1.2403,0.0828,0.8789,14.8602,1846.6317,6.5042
SYN_c2bd1ece-fd84-45d2-8039-e5a1e3d65418,125.23,2134.3043,1.4518,0.1995,0.8396,29.5775,1953.8753,20.1093
SYN_79e3da18-5cb3-4eb4-ae3c-f378362f412f,153.12,2192.6911,1.318,0.3458,0.7937,44.0823,2195.0064,41.5359
SYN_f9df6ea7-fe94-4e39-97bf-43c003189160,124.14,2456.785,1.2137,0.2573,0.8385,40.9769,1861.3738,28.079
SYN_fc024d3c-23a1-4f56-a570-0ad412f30c7c,150.14,2262.4085,1.3894,0.1408,0.7248,21.8987,2214.3585,13.3467
SYN_956948b3-fc80-467a-a891-f48ef9653d97,117.96,2737.5537,1.2408,0.2555,0.8177,37.2049,2055.0147,28.8071
SYN_f83c6519-f52d-4e7e-8545-d4067b2da2ff,139.94,1522.8315,1.3143,0.2197,0.8651,24.6477,2420.2639,23.573
SYN_35b254b3-017a-4c60-a08a-fd166e6d0920,85.06,1092.7777,1.3235,0.2705,0.825,10.5199,2939.125,32.8546
SYN_1d41131e-9944-4a16-9ef4-5a4ac44a1823,106.04,1332.6988,1.2176,0.2347,0.9268,29.9018,2054.9772,25.1617
SYN_13dc5706-eeae-4824-899a-f8ae76039711,156.21,2456.1091,1.4629,0.2267,0.8007,26.7128,2297.436,24.3122
SYN_07f11167-05df-4e1a-a96c-4a11e6066c3d,143.63,1040.4305,1.2131,0.121,0.8746,10.8673,2388.6211,11.1571
SYN_acceb0da-8bb4-40a2-9b3d-6e0e05fc6fac,140.03,2224.2162,1.3682,0.2745,0.8779,36.2247,2424.7026,30.6017
SYN_d508a2ba-aa22-402e-9825-0cb7e08d9b10,144.97,1487.3485,1.3704,0.2961,0.8663,27.5103,2346.0466,34.5267
SYN_21cc6894-c8ce-486a-a743-343852de393f,83.94,1529.6286,1.2399,0.2144,0.9036,25.775,2028.1672,22.4647
SYN_c5e9d13e-bd48-49f9-9dc4-86297ee49192,123.0,1579.1351,1.2364,0.211,0.865,29.8709,1283.8739,21.7752
SYN_41a34b7c-bdaa-4bf6-a7a1-b7d661d57e4a,97.01,1939.5743,1.4915,0.2105,0.7907,21.3518,2604.6006,22.7132
SYN_d80b6444-a753-4f49-aff2-ef2f3a81f9d8,99.89,2099.2929,1.4495,0.2238,0.8232,25.5901,2579.558,24.5903
SYN_1a202f69-4832-4e98-b3f4-8b13c31df43e,134.68,1794.3173,1.4321,0.2058,0.782,19.8245,2124.0039,21.4578
SYN_08cda500-7283-436d-90ed-69bf6b69c83f,89.97,1478.2368,1.2651,0.1844,0.8848,20.6097,1883.8233,18.5447
