SongKey,Title,DiscNumber,TrackNumber,DurationMs,Popularity,FeaturingArtists,AlbumKey,LyricsKey,SymphonyKey,Category
cb524736-1759-44a6-8dfa-35558934078a,La Gente Non Lo Sa,1,2,228613,9.0,,ed081103-251b-4589-a836-19d6ace1c17e,1368317432734bc49dc0c07b2b37dac6,78fb775d291b4f07923496d9ebd42310,italian_pop
43350b31-50f9-44f4-b106-e5a49cae5e1f,Qualcosa Cambierà pt. III,1,2,228287,65.0,"Franco Negrè, Kiave",3b5c5c14-4e90-4fb7-a7a1-ebfa0865ccb5,6e1cf70ea83049dd87ddcaebce3d8211,f64cc47849b444f19cb6bcce937aecef,italian_pop
743c942f-2d5b-4f54-b2cb-a379090f9c38,Inguaribile e romantico (feat. Malika Ayane),1,1,196331,25.0,Malika Ayane,12f33bdb-93d2-4aab-9e77-d140b4afa48a,c2f01824c09f49259a5d9aeab41b49a9,b8f968c4fb32414782c34d855e74d55b,italian_pop
e41f8d57-baaf-458f-802e-16ede96574d4,PATTO COL DIAVOLO,1,2,284093,21.0,,dc227f52-0753-4d2e-85a2-be6057d8467f,07ffad860c0e45f3840632b11c2d74b3,787a8e3cedf545bb930ba84343329ba7,italian_love
18775fd7-75b4-465c-b77a-1b589bf3edac,Solo Per Me,1,2,213453,6.0,Lucio Dalla,b7e4c6b0-f07c-4e7e-bee6-6eea2a444d54,31ea821b13f7429fb0ddf481e7ed2e04,f1ba59698dca4f05b9984e768115ed1d,italian_pop
e9e8636a-0df5-44d6-8183-0293291312ee,Va Così,1,16,202500,6.0,,aec34028-3a70-4d4a-ae21-4505681cfec5,575fdae4b45b42c6a3842b31a95d669f,8e67e1452b7e4060bc646484f41ae672,italian_pop
5363009d-34bd-48b7-8ccb-56c5bf2c6205,Sig. Rossi,1,19,330276,23.0,,c08c9f57-fb0e-486e-a258-16f1d926b291,813edefe8b0540588a205c2267e2de46,8fea98f371b04ed99f1e336da68b7edc,storytelling
4aab0b32-9a3f-44b0-98fe-c014d696512c,Qualcosa Cambierà pt. ll,1,2,228287,65.0,FatFatCorfunk,3b5c5c14-4e90-4fb7-a7a1-ebfa0865ccb5,48f5c5629be5420787953528ecfb2c87,0e753e73bcd547f88ca89b4af9dd0171,italian_pop
69aa169d-101c-4ee0-be81-00ca42af010d,Fate finta che Scienz non ci sia più,1,10,180137,75.0,,f52eb6d7-41aa-44e0-869b-30d382628d3a,56664765b5914c44bcf3e67a852b1c19,b089014170494876a9c1b1c8de784680,italian_pop
fdf8135a-dd9d-41f5-a863-68b564f143f5,Quando ascolto i dischi,1,1,225400,36.0,,67824c1f-9786-43ca-b0ad-11568d85087e,2ead7e115b3943c4b2dc18e59ef3722e,e7f5f12286534ac88bce1ca8b9d3463f,italian_pop
a079a681-9a45-49ce-9435-a1dfa504f6fd,Qualcosa Cambierà Pt. l,1,1,241477,2.0,,1bb8f177-ed57-4e60-bc83-b9026d5f7e14,e771bef344794d2ea5d8713398802b7a,19a5f58cd6b846ef99ca1f2d721e7ef7,italian_pop
