SongID_Original,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
dfdaf9d0-0eb2-404f-82f6-f30980213f72,99.84,1328.5572,1.2336,0.1966,0.9242,25.0413,1907.9789,19.5017
74a2f231-b72e-40da-bc60-b8fba3abb76e,100.06,1934.3353,1.3653,0.1347,0.8586,16.6464,1807.5108,11.8235
04865bcb-3dbd-4101-be2f-8e47908aa734,86.97,1080.1571,1.2219,0.2597,0.9475,30.8597,2585.5437,28.6058
efea2784-cc71-4650-a71a-b0175a79e712,93.94,1604.182,1.2001,0.2518,0.8883,38.1817,2056.8468,27.5268
830c69f5-3071-4e6f-ab1c-e32e35e90429,100.92,1673.2887,1.2423,0.2166,0.9004,29.8881,2192.9297,23.3016
c0fe3f53-4945-4586-b221-40ce097e4785,150.16,1155.511,1.4218,0.3036,0.8564,25.3508,2684.7493,35.9182
039671d2-2fa9-461b-9e97-3f4258c211b2,97.05,1626.5428,1.2289,0.2657,0.8694,33.005,1860.3851,29.4205
2cf7f3fd-e547-4226-b4d1-d9e39c1da07d,102.0,1832.725,1.3466,0.2321,0.7801,32.3706,2063.7877,25.4385
1f7cca78-5dc1-46e2-bfa2-4963d0e15c05,107.89,2478.1341,1.4221,0.2422,0.7778,26.7647,2318.728,26.8665
0b6cad1d-b4c4-458d-943d-fae051972d0f,122.22,1401.5597,1.1518,0.2091,0.9008,21.3362,2287.5013,22.2948
004da273-3853-492e-8b31-d604bed4302e,104.88,1397.9528,1.362,0.2354,0.8254,26.3092,2402.7881,26.679
3a7e76ad-7556-457d-939a-6193579ec7bc,142.12,2003.6417,1.3085,0.1957,0.8317,25.7311,2059.8171,20.3535
a99d960d-2536-43e7-aeb0-a1768b618a3e,114.67,911.7727,1.2797,0.3039,0.9304,28.8953,2755.4281,35.0052
447c330e-d9b5-40ae-a76e-82aafdcda0e6,122.95,1557.141,1.3555,0.2961,0.8934,33.8047,2750.6078,34.0028
fd8dd7f1-15a9-406f-9ea0-d6a098fd11ab,117.7,1166.8842,1.3235,0.2126,0.9082,20.7593,2553.1109,23.1476
598f9de2-e9a6-479b-b9f3-ebe576d4385f,124.23,1290.9085,1.1678,0.3187,0.8511,43.0438,2067.4024,36.8162
aa49e3d0-7b6d-4059-9934-55ec7648e1a9,100.01,1836.8605,1.434,0.2123,0.8644,25.2745,2045.0869,21.3904
