SongID_Original,ArtistID_Original
TR626180,ART39344115
TR118050,ART39344115
TR955852,ART39344115
TR868282,ART39344115
TR821300,ART39344115
TR882665,ART39344115
TR981574,ART39344115
TR502500,ART39344115
TR502500,ART02733420
TR789566,ART39344115
TR328160,ART39344115
TR361371,ART39344115
TR213686,ART39344115
TR293998,ART39344115
TR387698,ART39344115
TR387698,ART02733420
TR483602,ART39344115
TR483602,ART87497821
TR850374,ART39344115
TR850374,ART83125571
TR324280,ART39344115
TR880184,ART39344115
TR750777,ART39344115
TR615664,ART62385172
TR615664,ART85046033
TR615664,ART48622722
TR116342,ART62385172
TR116342,ART78358659
TR160281,ART62385172
TR260830,ART62385172
TR462970,ART62385172
TR462970,ART25707984
TR312583,ART62385172
TR359770,ART62385172
TR435296,ART62385172
TR435296,ART88792008
TR441529,ART62385172
TR441529,ART78358659
TR924314,ART62385172
TR508083,ART62385172
TR174246,ART62385172
TR174246,ART86549066
TR174246,ART88792008
TR390260,ART62385172
TR930049,ART62385172
TR930049,ART57616402
TR930049,ART88792008
TR669513,ART62385172
TR669513,ART78358659
TR669513,ART85046033
TR332147,ART62385172
TR332147,ART78358659
TR332147,ART25707984
TR332147,ART88792008
TR332147,ART85046033
TR424505,ART62385172
TR424505,ART85046033
TR599912,ART62385172
TR352863,ART62385172
TR885477,ART62385172
TR885477,ART48622722
TR230197,ART62385172
TR613529,ART62385172
TR654832,ART62385172
TR846842,ART62385172
TR918719,ART62385172
TR629680,ART62385172
TR651064,ART62385172
TR476769,ART62385172
TR476769,ART39344115
TR203953,ART62385172
TR634970,ART62385172
TR603559,ART62385172
TR774517,ART62385172
TR648772,ART62385172
TR648772,ART71969350
TR362754,ART62385172
TR311504,ART62385172
TR200538,ART62385172
TR200538,ART48622722
TR200538,ART88792008
TR253362,ART62385172
TR242222,ART62385172
TR708193,ART62385172
TR736370,ART62385172
TR590421,ART62385172
TR937829,ART62385172
TR313217,ART62385172
TR790379,ART62385172
TR377582,ART62385172
TR168818,ART62385172
TR205707,ART62385172
TR205707,ART17240256
TR251649,ART62385172
TR826075,ART62385172
TR391277,ART62385172
TR497887,ART62385172
TR333971,ART62385172
TR152555,ART62385172
TR152555,ART17812958
TR307629,ART62385172
TR169358,ART62385172
TR807540,ART62385172
TR291683,ART62385172
TR219268,ART62385172
TR885258,ART62385172
TR980421,ART62385172
TR616238,ART62385172
TR870662,ART62385172
TR477762,ART62385172
TR230529,ART62385172
TR581468,ART62385172
TR430094,ART62385172
TR984085,ART62385172
TR256730,ART62385172
TR985127,ART62385172
TR985127,ART98118784
TR136090,ART62385172
TR913661,ART62385172
TR954666,ART62385172
TR627327,ART62385172
TR472127,ART62385172
TR514062,ART62385172
TR514062,ART15560128
TR514062,ART80977821
TR332566,ART62385172
TR332566,ART40433104
TR343818,ART62385172
TR399565,ART62385172
TR641854,ART62385172
TR309044,ART62385172
TR887819,ART62385172
TR629047,ART62385172
TR579101,ART62385172
TR253080,ART62385172
TR610553,ART62385172
TR570715,ART62385172
TR596415,ART62385172
