SongID_Original,SongTitle,DiscNumber,TrackNumber,DurationMS,Popularity,AlbumID_Original
7b127ad7-6e0d-4eff-a7cb-c4342c832745,Démodé,1.0,4,144175,19.0,
6246203e-b1e4-440b-8ec8-6809041cab49,Contro Tutti,1.0,3,183250,12.0,
009ea636-ce52-4727-814e-236ff3abfacb,COVID19 FREESTYLE,1.0,1,186566,5.0,25b816ca-8ccf-47c5-80c0-5d7aadc733ca
ba37327e-2402-459e-8414-fa0e373fab4b,Fili Del Tram,1.0,8,172445,14.0,
e810984a-09ff-4fc8-91e0-a012b30cbb96,Bambola,1.0,11,158258,15.0,
e7f803fa-8bda-42e9-a935-ffddf580724e,Dentro di me,1.0,1,157050,25.0,65b69ba1-7de0-4866-8206-9d2bc19752da
b855d377-8981-4e0f-ae07-7f828da72c51,Come Le Storie,1.0,1,181176,19.0,5e2eaeba-6efd-48d7-99bf-28cad31c1a6c
9b422d7e-728a-4637-a532-aff51873f86b,Intro,1.0,2,163520,13.0,fcf81f4e-aa56-490a-a365-c53e9a025ef0
ba14b0fb-eb75-4f40-a4a4-c23763292e12,Memento,1.0,6,192611,59.0,14006abc-4b19-477c-85cf-3e13c9acc33f
a94f83f1-9f4a-4ea4-afc3-93f3ecbc567b,MAGA Freestyle,1.0,13,356317,40.0,235bde4d-fddc-4594-a3ef-9c9f28fd381b
b51b3ac9-aafb-4b91-b429-7da211752f09,Missed Call,1.0,12,242293,55.0,25ea52f3-d27e-45f6-aea8-209569ee8f99
6b712def-c30c-4342-b8e5-b31dce46a6c2,La prima volta,1.0,1,126857,30.0,3be88614-0cd6-46ed-982d-747ec128ca6c
03f54055-355b-47ad-a024-37b87be185d9,Mood Blu,1.0,1,135277,25.0,6f6ad0b4-8cd2-46f2-972d-9002144744d1
75b7e97b-5e7b-4d44-8072-a7a83304b890,Warzone Freestyle,1.0,10,150315,5.0,98ea23d3-ca36-4f7d-926e-5f179a521420
116c1802-b3a7-41fe-b3a3-32d6934fab67,Rolling Papers,1.0,1,122448,36.0,4a18fcf0-05c7-4fc5-8adb-f76ea6a03984
6e9b3509-b41e-4878-9613-d28fe0b4ff68,Mantra,1.0,10,263274,0.0,eb2613ab-3364-4d09-810a-5ef51513507c
9a7569e0-8f1a-41c5-9785-5cf83ba4b9d5,Creep,1.0,6,216521,32.0,2e2696fa-b4c4-433d-a38d-ede94356c8f2
b96e3fed-c693-4e66-8cf5-43f7f70f055a,Fotta Torinese,1.0,8,166120,56.0,c3cbb1a5-cb62-4f50-8177-abce8d4fde1d
dcd6851c-3f23-43c9-87ab-c63abba7f792,Anima su tela,1.0,1,169531,11.0,116e2482-e8e0-4c1a-a8cf-5c1e7eb7fbb4
80f7f66a-ba81-44e8-ab83-92baf9057eb3,Ibridi,1.0,6,198260,66.0,3179b454-3483-49a9-8e9e-ac099487ec34
e26522ef-a5aa-464c-9b87-3ef4531fc8a9,Murder,1.0,2,186008,63.0,cc8e5e90-27f9-4795-bfbb-86fda87c2df8
c4a1e641-121b-4ce0-98f4-e9b7c472aa0b,COVID Freestyle,1.0,1,186566,5.0,
0f22b1c2-c868-4272-9b82-f4bbe73b9cf3,Limonare,1.0,1,137714,17.0,2f607336-a259-4b05-af04-5044018fddd9
e79b2d88-7ba9-4a07-98a5-fd8f66885815,Fear and Loathing,1.0,12,367520,47.0,e29ccced-73a2-46b1-b68b-04ca54c4f522
9a41331f-45ba-44a9-a38d-0cb7644b9df3,il filo rosso,1.0,1,187403,68.0,0cb51818-46ed-4bf7-9c24-da33404a6e16
e7921c6f-e07a-45e7-9b18-42c01712f339,Cin Cin,1.0,9,180094,68.0,c0386347-acbc-4ea2-baf4-55b6d4dc13e1
5f688288-343f-4a9b-b2ff-23d70101a94b,"TesTa TrA Le NuVoLE, pT. 2",1.0,3,180000,57.0,
c731072f-c2cb-4df2-bded-463d380adc01,Chiara Ferragni,1.0,10,209552,71.0,24c7ff17-7484-4292-a63d-673f07cd3043
1c3167b8-cd6f-40d9-9cd4-6edb02767a5d,a me mi piace,1.0,1,140816,75.0,26b122af-01a5-4cb1-928c-8ad19b15db09
b1edcf75-3f76-41e3-8a45-f6b2699424b7,"Sogna, ragazzo, sogna",1.0,1,269850,61.0,da704105-e2d4-4a4c-9d29-e53d1f41c83b
2d9a41a0-d9c3-4477-8ff4-2413e512207f,"Testa tra le nuvole, Pt. 1",1.0,5,143399,57.0,
970939aa-47ce-43ff-9b92-4978815780a8,SuL Più BeLLo (Out Of My League),1.0,5,164999,52.0,
80a60db0-88dd-4727-abc9-f0e823cafeb3,sofia,1.0,9,175411,52.0,3c7e268c-bea1-4eb3-a31c-8341735ce73a
b74a779e-6593-465f-bb3a-04d0a1b91165,​bellissimissima,1.0,1,157031,70.0,b72e209f-4949-4d47-aca1-d99892c4bd43
12fd7355-6467-4a18-8fd0-4ba9ef00704a,Prima O Poi,1.0,1,222738,36.0,37d061f3-9c97-4420-9636-faf42dfe06c1
69f5873a-b2bb-4cad-aeab-748e93dec340,Wanderlust!,1.0,1,203076,49.0,
77bbfd61-4dc1-4397-9c76-a80e7c481575,BeVo TuTTa La NoTTe,1.0,7,168426,53.0,
5a6ac281-dc9a-43dc-a534-d329b4d54318,SnoB,1.0,2,170760,38.0,
7a60eca2-2682-4c2f-a219-3a5ae2463fd9,vai!,1.0,4,156923,68.0,
9613da3b-13f0-4f03-992a-1d24e8cefc69,Il Giro Del Mondo,1.0,2,213560,48.0,
9ade82ed-b406-407d-aace-cad412511d27,SaN LoREnZo,1.0,6,202990,58.0,
b2a24f0c-6dde-45a0-b073-c28cba39743d,Dove sei?,1.0,7,257142,47.0,
